generated_at	2026-03-26T02:25:51Z
https://www.publico.pt/2023/12/02/azul/noticia/agricultura-dura-tarefa-alimentar-mundo-destruir-2072249	assets/data/corpus.json
https://www.publico.pt/2023/12/02/azul/noticia/arrotos-vaca-desperdicio-alimentar-destaque-dia-agricultura-cop28-2072290	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/12/03/azul/noticia/cop28-quer-mundo-falar-comemos-2072144	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/12/14/p3/noticia/ratos-sao-empaticos-pensas-gostam-estar-perto-pessoas-2073695	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/12/22/impar/opiniao/voce-nao-caixote-lixo-2074446	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/12/23/azul/noticia/associacoes-alertam-excessos-consumo-natal-pedem-contencao-desperdicio-2074624	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/12/26/azul/noticia/senhor-moscas-encontrou-larvas-solucao-desperdicio-alimentar-2073653	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/12/28/azul/noticia/prado-prato-estrategia-onu-reduzir-emissoes-sistemas-alimentares-2074921	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2024/01/02/impar/cronica/sao-maes-avos-gostariamos-companheiras-2075420	assets/data/corpus.json
https://www.publico.pt/2024/01/06/p3/noticia/tampas-mudam-cor-alimentos-estragam-2075491	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2024/01/31/economia/noticia/tribunal-anula-premio-abismal-56-mil-milhoes-tesla-musk-2078795	assets/data/corpus.json
https://www.publico.pt/2024/01/31/mundo/noticia/tribunal-onu-rejeita-maioria-queixas-kiev-apoio-russo-separatistas-2078819	assets/data/corpus.json
https://www.publico.pt/2024/02/03/azul/noticia/gigantesco-espelho-plastico-estufas-almeria-vese-espaco-2078452	assets/data/corpus.json
https://www.publico.pt/2024/02/19/azul/noticia/eleicoes-tempo-assumir-combate-desperdicio-alimentar-lei-2080783	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2024/02/26/impar/noticia/simples-ferramenta-manter-frescos-frutas-legumes-2081638	assets/data/corpus.json
https://www.publico.pt/2024/02/28/azul/noticia/alteracoes-climaticas-associadas-perda-peso-peixes-pacifico-2081865	assets/data/corpus.json
https://www.publico.pt/2024/03/05/azul/noticia/ue-chega-acordo-provisorio-legislacao-reduzir-plastico-embalagens-2082653	assets/data/corpus.json
https://www.publico.pt/2024/03/19/azul/noticia/estado-clima-2023-ha-recordes-terra-ha-recordes-mar-2084099	assets/data/corpus.json
https://www.publico.pt/2024/03/21/fugas/noticia/congresso-acordas-saboreiase-15-dias-alentejo-2084388	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2024/03/23/azul/entrevista/sian-sutherland-alimentamnos-forca-plastico-dias-2083812	assets/data/corpus.json
https://www.publico.pt/2024/03/28/impar/noticia/8-alimentos-congelador-estragar-nao-cuidado-2085015	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2024/04/05/mundo/noticia/panfleto-mcdonalds-congratula-exercito-israelita-nao-autentico-2086009	assets/data/corpus.json
https://www.publico.pt/2024/04/17/impar/noticia/menos-compras-cozinhar-desperdicar-comer-bem-2087162	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2024/04/22/azul/noticia/possivel-comer-melhor-proteger-planeta-ha-plano-alimentacao-mostra-sim-2087671	assets/data/corpus.json
https://www.publico.pt/2024/04/24/azul/noticia/ha-56-empresas-sao-responsaveis-metade-poluicao-plastico-marca-2088126	assets/data/corpus.json
https://www.publico.pt/2024/05/04/azul/opiniao/reino-cavalo-sera-bife-morango-epoca-2088999	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2024/05/25/azul/noticia/excesso-producao-espanha-deixa-400-milhoes-quilos-limoes-arvores-2091689	assets/data/corpus.json
https://www.publico.pt/2024/05/25/sociedade/noticia/banco-alimentar-comeca-sabado-nova-campanha-recolha-alimentos-2091804	assets/data/corpus.json, assets/data/corpus_core.json
